id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
195111061,7956346945610,"Chảo chống dính Inox đáy từ nguyên khối đáy liên Elmich Trimax Classic EL-2702OL có cấu tạo 2 lớp thân đáy liền bắt nhiệt nhanh, tỏa nhiệt đềuThân chảo Trimax classic có cấu tạo 2 lớp dày dặn:Chống...",331000,820000,,489000,60,37,,available,,1000,1000,,31627,Elmich
201592117,6014388926718,"Vớ Nhung Đỏ Thêu Chữ Merry Christmas Trang Trí Cây Thông Noel Giáng Sinh Đóng gói:  1 vớ nhung trang trí kích thước cao 16cm, ngang 12cm.️ Tính năng Vớ nhung đỏ được thêu biểu tượng giáng sinh và ch...",30000,30000,,0,0,16,,available,,1000,1000,,5706641,NAVIVU
579962,1221996228592,"Thân nồi được làm bằng inox cao cấpChất liệu inox cao cấp giúp cho bộ nồi SH781 sáng bóng, bền đẹp. Bạn sẽ yên tâm sử dụng sản phẩm trong thời gian dài mà không phải bận tâm về việc nồi bị han gỉ....",559000,559000,,0,0,0,,available,,1000,1000,,41048,Sunhouse
129143705,1375481910388,"       NỒI HẤP INOX 3 TẦNG 28CM   ĐIỂM NỔI BẬT   - Bộ nồi hấp đa năng gồm:01 nồi đáy, 01 giá hấp, 02 miếng lót khi hấp, 1 nắp.   - Dùng được cho mọi loại bếp: bếp từ, bếp ga, bếp hồng ngoại   ...",99000,99000,,0,0,0,,available,,1000,1000,,111461,OEM
48045630,8111055666089,Panasonic là thương hiệu nổi tiếng thế giới chuyên sản xuất các dòng pin gắn trong. Mang lại hiệu suất tuyệt vời cho thiết bị đồng thời bảo vệ môi trườngVới công nghệ NHẬT BẢN Pin CR2032 sẽ mang lại ...,80000,100000,,20000,20,692,,available,,1000,1000,,18804,Panasonic
99868980,5466758134944,"   Bình Giữ Nhiệt Locknlock Bucket Tumbler LHC4269 có tay cầm chắc chắn thuận tiện mang đi.Nắp và lưới lọc có thể tháo rời, dễ dàng vệ sinh.Miệng bình rộng đủ để vệ sinh bên trong và thêm đá v...",225000,473000,,248000,52,2189,,available,,1000,1000,,48077,LocknLock
134360863,2656755417428,"       QUY CÁCH ĐÓNG GÓI : Vỉ 6 Viên Pin   kích thước : AA là pin to hay lắp đồng hồ , chuột không dây , khoá từ , đồ chơi trẻ em    - AAA là pin nhỏ , hay lắp vào remote điều hoà , Máy đo huyết...",77000,90000,,13000,14,95,,available,,1000,1000,,19312,Energizer
54484578,3821461114290,"MÔ TẢ SẢN PHẨM*LƯU Ý !!!: Sản phẩm có 03 phiên bản: Đèn không tích điện: cần phải cắm vào nguồn điện như: ổ điện, máy tính, sạc dự phòng mới có thể sử dụng đượcĐèn tích điện: tích hợp pin lithium...",179000,199000,,20000,10,2086,,available,,1000,1000,,835483,eLights
259514009,5343195603292,"GIÁ SỈ SIÊU LỢI:Giá chỉ còn 800đ Số lượng: 500 cáiGiá chỉ còn 1.000đ Số lượng: 300 cái Muỗng Đong Định Lượng Greenhome, 2 Đầu, Chia Vạch Sẵn, Tiện Lợi, Đong Phân Bón Dạng Bột, Gia Vị  ...",1800,3000,,1200,40,0,,available,,1000,1000,,154455,Greenhome
42465518,2172276129698,#cây thông noel #cay thong noel #cây thông nô en #cay thong no en #cây thông giáng sinh #cay thong giang sinh #ông già noel #ong gia noel #ông già nô en #ong gia no en #trang trí cây thông noel #ông g...,231000,299000,,68000,23,162,,available,,1000,1000,,111461,OEM
